pre_time,knn_time,degree,index_time,refine_time,beam,search_time,QPS,recall
0.403488,12.5166,64,9.79467,22.9166,20,0.005612,1782048.375000,0.818397
0.403488,12.5166,64,9.79467,22.9166,25,0.006941,1440782.750000,0.859588
0.403488,12.5166,64,9.79467,22.9166,30,0.008555,1168958.500000,0.890512
0.403488,12.5166,64,9.79467,22.9166,35,0.009639,1037461.500000,0.908633
0.403488,12.5166,64,9.79467,22.9166,40,0.011215,891675.062500,0.924624
0.403488,12.5166,64,9.79467,22.9166,45,0.012510,799347.187500,0.934705
0.403488,12.5166,64,9.79467,22.9166,50,0.014092,709608.000000,0.943886
0.403488,12.5166,64,9.79467,22.9166,55,0.015384,650038.187500,0.949546
0.403488,12.5166,64,9.79467,22.9166,60,0.016938,590391.312500,0.955387
0.403488,12.5166,64,9.79467,22.9166,65,0.017909,558386.750000,0.959527
0.403488,12.5166,64,9.79467,22.9166,70,0.019459,513899.093750,0.963647
0.403488,12.5166,64,9.79467,22.9166,75,0.020756,481794.312500,0.966548
0.403488,12.5166,64,9.79467,22.9166,80,0.022318,448067.218750,0.969518
